index,filename,uuid,timestamp,env,git_commit
1,firmware001.bin,edeacb2d-e235-4eb1-8023-c75ec6c4a059,2025-12-18T13:50:02,STM32G0B1RE_btt,22abba0
2,firmware002.bin,5895c53c-45cd-4296-b4db-6e26b9b4a78b,2025-12-18T13:52:35,STM32G0B1RE_btt,22abba0
3,firmware003.bin,53df12d3-a06c-4222-9f0f-92eb261a620e,2025-12-18T13:54:26,STM32G0B1RE_btt,22abba0
4,firmware004.bin,13409a81-49a3-4148-b06b-2b89aa16ebbc,2025-12-18T13:56:18,STM32G0B1RE_btt,22abba0
5,firmware005.bin,c7261ab2-815a-4c4f-be5d-fb8f23e442fc,2025-12-18T13:58:09,STM32G0B1RE_btt,22abba0
6,firmware006.bin,985f2916-d374-4287-b6f6-8c1285f91979,2025-12-18T14:00:04,STM32G0B1RE_btt,22abba0
7,firmware007.bin,584453ed-e833-492c-aa49-d97233a2bac9,2025-12-18T14:02:02,STM32G0B1RE_btt,22abba0
8,firmware008.bin,340f80cc-9455-4bb5-8e89-af4bba75f533,2025-12-18T14:04:00,STM32G0B1RE_btt,22abba0
9,firmware009.bin,cb20e2ee-5ddb-4988-a6b2-be72222bf686,2025-12-18T14:06:08,STM32G0B1RE_btt,22abba0
10,firmware010.bin,2c8c9e88-16f9-4f50-b3af-f9f92590f7ed,2025-12-18T14:08:09,STM32G0B1RE_btt,22abba0
11,firmware011.bin,7e02fd2a-614b-4e75-8bc9-eaafb41c5e96,2025-12-18T14:10:07,STM32G0B1RE_btt,22abba0
12,firmware012.bin,64a43635-ad1a-439e-935a-926cbe403150,2025-12-18T14:12:00,STM32G0B1RE_btt,22abba0
13,firmware013.bin,d305e238-e89c-49f7-8654-2f7ac6978e1d,2025-12-18T14:13:54,STM32G0B1RE_btt,22abba0
14,firmware014.bin,0d7006de-26dc-4731-926a-f3e5be4b79f7,2025-12-18T14:15:48,STM32G0B1RE_btt,22abba0
15,firmware015.bin,75f10531-1947-462d-893f-b272b415b0a1,2025-12-18T14:17:39,STM32G0B1RE_btt,22abba0
16,firmware016.bin,ab8b8790-fe29-496c-a643-28e82d07c27b,2025-12-18T14:19:33,STM32G0B1RE_btt,22abba0
17,firmware017.bin,14f1661d-31c0-404b-a605-13262bc13d90,2025-12-18T14:21:23,STM32G0B1RE_btt,22abba0
18,firmware018.bin,82cd5b86-709a-4121-aad9-ff9666ceb508,2025-12-18T14:23:13,STM32G0B1RE_btt,22abba0
19,firmware019.bin,b4b6f273-0b82-4777-944b-d492fb4bb54b,2025-12-18T14:25:05,STM32G0B1RE_btt,22abba0
20,firmware020.bin,64650854-1048-4c10-91d4-dadae4093959,2025-12-18T14:26:58,STM32G0B1RE_btt,22abba0
21,firmware021.bin,fc5faf32-c660-4bb0-8721-a7d4e44a6bed,2025-12-18T14:28:53,STM32G0B1RE_btt,22abba0
22,firmware022.bin,cac115a0-720e-4368-afd6-bf45443b9689,2025-12-18T14:30:48,STM32G0B1RE_btt,22abba0
23,firmware023.bin,242461da-9cf3-440d-af18-00820745237f,2025-12-18T14:32:51,STM32G0B1RE_btt,22abba0
24,firmware024.bin,b3d8d461-bc5a-4c45-b63e-20adc55b1946,2025-12-18T14:34:42,STM32G0B1RE_btt,22abba0
25,firmware025.bin,c1b7a82d-cae1-439c-9f1c-bef24bbf78af,2025-12-18T14:36:33,STM32G0B1RE_btt,22abba0
26,firmware026.bin,fd3e8164-7809-4912-8123-ed7dcec30855,2025-12-18T14:38:27,STM32G0B1RE_btt,22abba0
27,firmware027.bin,39a6c724-ec67-4ae3-8d7b-44c66c3122a0,2025-12-18T14:40:25,STM32G0B1RE_btt,22abba0
28,firmware028.bin,8e3f71a5-a384-4063-8ba2-274c67c4601c,2025-12-18T14:42:20,STM32G0B1RE_btt,22abba0
29,firmware029.bin,a6953440-21ff-4121-909c-fbe0e5adad74,2025-12-18T14:44:17,STM32G0B1RE_btt,22abba0
30,firmware030.bin,7b57991a-e8dc-4da0-8e83-4632e6c907d5,2025-12-18T14:46:12,STM32G0B1RE_btt,22abba0
31,firmware031.bin,d59d79f8-844a-48c0-acfd-c3d3d3ebd384,2025-12-18T14:48:03,STM32G0B1RE_btt,22abba0
32,firmware032.bin,1422d88d-ad97-4fc7-9949-e0c7d5f5aade,2025-12-18T14:49:54,STM32G0B1RE_btt,22abba0
33,firmware033.bin,eaaf4855-511e-4ab2-a3d8-d0b6d9829526,2025-12-18T14:51:47,STM32G0B1RE_btt,22abba0
34,firmware034.bin,01005676-856f-4ae8-a12b-a07f4fbf8c5a,2025-12-18T14:53:39,STM32G0B1RE_btt,22abba0
